"","Time_sen","Group_sen","Group_Time_sen","Time_spe","Group_spe","Group_Time_spe"
"1",0.85,0.6,1,0.992857142857143,1,0.996551724137931
"2",0.9,0.7,1,0.989285714285714,1,0.986206896551724
"3",0.8,0.55,1,0.992857142857143,0.996428571428571,0.989655172413793
"4",0.8,0.6,1,1,1,0.993103448275862
"5",0.85,0.75,1,0.996428571428571,1,1
"6",0.9,0.65,1,0.992857142857143,1,0.993103448275862
"7",0.7,0.5,1,0.996428571428571,0.996428571428571,0.996551724137931
"8",0.75,0.6,1,0.989285714285714,0.996428571428571,1
"9",0.8,0.65,1,0.978571428571429,1,0.993103448275862
"10",0.6,0.65,1,1,0.996428571428571,0.993103448275862
"11",0.9,0.6,1,0.996428571428571,1,1
"12",0.85,0.65,1,0.989285714285714,0.996428571428571,1
"13",0.8,0.6,1,0.996428571428571,1,0.996551724137931
"14",0.85,0.65,1,0.996428571428571,0.996428571428571,0.996551724137931
"15",0.8,0.7,1,0.989285714285714,0.992857142857143,0.989655172413793
"16",0.7,0.5,1,0.996428571428571,0.996428571428571,0.986206896551724
"17",0.85,0.6,1,0.978571428571429,0.996428571428571,0.993103448275862
"18",0.9,0.6,1,0.996428571428571,1,0.996551724137931
"19",0.9,0.55,1,0.978571428571429,0.996428571428571,0.993103448275862
"20",0.95,0.75,1,0.992857142857143,0.996428571428571,0.996551724137931
"21",0.75,0.6,1,0.992857142857143,0.996428571428571,0.993103448275862
"22",0.95,0.65,1,0.992857142857143,0.996428571428571,0.993103448275862
"23",0.85,0.65,1,0.985714285714286,0.996428571428571,0.996551724137931
"24",0.95,0.6,1,0.985714285714286,0.996428571428571,1
"25",0.9,0.7,1,0.989285714285714,0.992857142857143,0.986206896551724
"26",0.7,0.55,1,0.996428571428571,1,0.996551724137931
"27",0.85,0.75,1,0.985714285714286,0.996428571428571,1
"28",0.9,0.65,1,0.992857142857143,1,1
"29",0.9,0.55,1,0.989285714285714,0.996428571428571,1
"30",0.8,0.65,1,0.992857142857143,1,0.993103448275862
"31",0.85,0.55,1,0.985714285714286,1,0.993103448275862
"32",0.7,0.5,1,0.992857142857143,1,0.996551724137931
"33",0.7,0.6,1,0.985714285714286,0.996428571428571,0.996551724137931
"34",0.9,0.7,1,0.996428571428571,1,0.996551724137931
"35",0.8,0.6,1,0.996428571428571,1,0.996551724137931
"36",0.75,0.7,1,0.989285714285714,0.996428571428571,0.996551724137931
"37",0.8,0.7,1,0.996428571428571,1,0.996551724137931
"38",0.9,0.5,1,0.992857142857143,1,1
"39",0.75,0.6,1,0.996428571428571,1,0.996551724137931
"40",0.8,0.75,1,0.985714285714286,0.996428571428571,0.996551724137931
"41",0.85,0.7,1,0.989285714285714,1,0.996551724137931
"42",0.8,0.55,1,0.982142857142857,0.996428571428571,0.996551724137931
"43",0.75,0.55,1,0.989285714285714,0.996428571428571,0.993103448275862
"44",0.75,0.6,1,0.985714285714286,0.992857142857143,0.993103448275862
"45",0.85,0.75,1,0.989285714285714,1,1
"46",0.7,0.65,1,0.989285714285714,0.996428571428571,1
"47",0.7,0.65,1,0.996428571428571,0.996428571428571,1
"48",0.8,0.6,1,0.985714285714286,1,1
"49",0.9,0.65,1,0.989285714285714,0.996428571428571,0.986206896551724
"50",0.9,0.55,1,0.989285714285714,0.996428571428571,0.993103448275862
