"","Time_sen","Group_sen","Group_Time_sen","Time_spe","Group_spe","Group_Time_spe"
"1",1,1,0.8,0.807142857142857,0.835714285714286,0.968965517241379
"2",1,1,0.6,0.760714285714286,0.846428571428571,0.958620689655172
"3",1,1,0.8,0.8,0.917857142857143,0.958620689655172
"4",1,1,0.8,0.821428571428571,0.871428571428571,0.96551724137931
"5",1,0.95,0.7,0.839285714285714,0.885714285714286,0.96551724137931
"6",1,1,0.9,0.764285714285714,0.796428571428571,0.944827586206897
"7",1,1,0.9,0.8,0.903571428571429,0.962068965517241
"8",1,1,0.6,0.817857142857143,0.846428571428571,0.975862068965517
"9",1,1,0.6,0.803571428571429,0.839285714285714,0.955172413793103
"10",1,1,0.6,0.785714285714286,0.860714285714286,0.972413793103448
"11",1,1,0.6,0.764285714285714,0.839285714285714,0.958620689655172
"12",1,1,0.8,0.875,0.925,0.962068965517241
"13",1,1,0.7,0.835714285714286,0.867857142857143,0.972413793103448
"14",0.95,1,0.7,0.828571428571429,0.871428571428571,0.968965517241379
"15",0.9,1,0.5,0.778571428571429,0.85,0.951724137931034
"16",0.95,0.95,0.8,0.835714285714286,0.939285714285714,0.96551724137931
"17",1,1,0.5,0.803571428571429,0.860714285714286,0.955172413793103
"18",1,1,0.6,0.785714285714286,0.867857142857143,0.962068965517241
"19",1,1,0.9,0.810714285714286,0.896428571428571,0.951724137931034
"20",1,1,0.6,0.810714285714286,0.792857142857143,0.962068965517241
"21",1,1,0.4,0.775,0.828571428571429,0.96551724137931
"22",1,1,0.6,0.767857142857143,0.810714285714286,0.962068965517241
"23",1,1,0.7,0.817857142857143,0.871428571428571,0.975862068965517
"24",1,1,0.8,0.796428571428571,0.814285714285714,0.968965517241379
"25",0.95,1,0.7,0.817857142857143,0.860714285714286,0.955172413793103
"26",1,1,0.5,0.8,0.921428571428571,0.962068965517241
"27",1,1,0.6,0.803571428571429,0.832142857142857,0.968965517241379
"28",1,1,0.6,0.835714285714286,0.864285714285714,0.975862068965517
"29",1,1,0.8,0.803571428571429,0.875,0.96551724137931
"30",1,1,0.7,0.778571428571429,0.875,0.958620689655172
"31",1,1,0.7,0.789285714285714,0.889285714285714,0.979310344827586
"32",1,1,1,0.828571428571429,0.853571428571429,0.937931034482759
"33",1,1,0.7,0.792857142857143,0.842857142857143,0.962068965517241
"34",1,1,0.5,0.821428571428571,0.828571428571429,0.996551724137931
"35",1,1,0.7,0.789285714285714,0.839285714285714,0.968965517241379
"36",1,1,0.7,0.846428571428571,0.885714285714286,0.975862068965517
"37",1,1,0.7,0.771428571428571,0.807142857142857,0.948275862068966
"38",1,1,1,0.796428571428571,0.871428571428571,0.955172413793103
"39",1,1,0.4,0.846428571428571,0.842857142857143,0.962068965517241
"40",1,1,0.6,0.782142857142857,0.878571428571429,0.958620689655172
"41",1,1,0.6,0.803571428571429,0.875,0.96551724137931
"42",1,1,0.7,0.810714285714286,0.835714285714286,0.962068965517241
"43",1,1,0.9,0.817857142857143,0.860714285714286,0.958620689655172
"44",1,1,0.9,0.789285714285714,0.85,0.958620689655172
"45",1,1,0.6,0.778571428571429,0.907142857142857,0.972413793103448
"46",1,1,0.6,0.842857142857143,0.867857142857143,0.958620689655172
"47",1,1,0.7,0.782142857142857,0.846428571428571,0.951724137931034
"48",1,1,0.6,0.857142857142857,0.882142857142857,0.972413793103448
"49",1,1,0.4,0.771428571428571,0.860714285714286,0.951724137931034
"50",1,1,0.6,0.775,0.803571428571429,0.948275862068966
