"","Time_sen","Group_sen","Group_Time_sen","Time_spe","Group_spe","Group_Time_spe"
"1",0.95,1,0.1,0.825,0.753571428571429,0.772413793103448
"2",1,1,0.1,0.803571428571429,0.782142857142857,0.786206896551724
"3",1,0.95,0,0.85,0.832142857142857,0.782758620689655
"4",0.95,1,0.1,0.846428571428571,0.760714285714286,0.768965517241379
"5",1,1,0.2,0.9,0.735714285714286,0.786206896551724
"6",1,1,0.2,0.846428571428571,0.789285714285714,0.772413793103448
"7",1,1,0.2,0.857142857142857,0.785714285714286,0.73448275862069
"8",0.85,0.9,0.3,0.821428571428571,0.75,0.8
"9",0.95,0.95,0.1,0.796428571428571,0.7,0.76551724137931
"10",0.95,0.95,0,0.807142857142857,0.760714285714286,0.751724137931034
"11",1,1,0.1,0.821428571428571,0.782142857142857,0.758620689655172
"12",0.95,0.95,0,0.878571428571429,0.775,0.772413793103448
"13",0.95,1,0,0.814285714285714,0.721428571428571,0.744827586206897
"14",1,0.95,0.1,0.835714285714286,0.75,0.755172413793103
"15",1,1,0.3,0.839285714285714,0.760714285714286,0.793103448275862
"16",0.9,0.95,0.1,0.792857142857143,0.796428571428571,0.782758620689655
"17",1,0.95,0.3,0.789285714285714,0.782142857142857,0.793103448275862
"18",1,1,0.1,0.817857142857143,0.757142857142857,0.741379310344828
"19",1,0.9,0.1,0.8,0.760714285714286,0.793103448275862
"20",0.85,0.95,0.2,0.864285714285714,0.742857142857143,0.796551724137931
"21",0.9,0.9,0.3,0.775,0.717857142857143,0.820689655172414
"22",0.95,0.95,0.2,0.782142857142857,0.760714285714286,0.820689655172414
"23",0.9,0.95,0.1,0.835714285714286,0.735714285714286,0.76551724137931
"24",0.95,0.95,0.2,0.825,0.742857142857143,0.779310344827586
"25",1,0.95,0,0.810714285714286,0.782142857142857,0.751724137931034
"26",1,1,0.3,0.814285714285714,0.789285714285714,0.748275862068966
"27",0.95,0.95,0.1,0.789285714285714,0.710714285714286,0.789655172413793
"28",0.95,0.95,0.1,0.864285714285714,0.742857142857143,0.789655172413793
"29",0.9,1,0.2,0.839285714285714,0.764285714285714,0.796551724137931
"30",1,0.95,0.1,0.857142857142857,0.746428571428571,0.796551724137931
"31",0.95,0.95,0,0.789285714285714,0.767857142857143,0.751724137931034
"32",1,1,0.3,0.85,0.753571428571429,0.803448275862069
"33",0.95,0.95,0.1,0.821428571428571,0.835714285714286,0.751724137931034
"34",0.95,0.95,0.1,0.807142857142857,0.714285714285714,0.76551724137931
"35",0.95,0.95,0.1,0.807142857142857,0.803571428571429,0.8
"36",1,1,0.1,0.846428571428571,0.771428571428571,0.768965517241379
"37",1,1,0.1,0.839285714285714,0.746428571428571,0.748275862068966
"38",0.95,1,0,0.782142857142857,0.757142857142857,0.803448275862069
"39",0.95,0.95,0.2,0.814285714285714,0.735714285714286,0.827586206896552
"40",1,0.95,0.2,0.832142857142857,0.778571428571429,0.762068965517241
"41",1,0.95,0.3,0.846428571428571,0.778571428571429,0.824137931034483
"42",1,1,0.1,0.807142857142857,0.75,0.803448275862069
"43",0.95,0.95,0.1,0.885714285714286,0.796428571428571,0.831034482758621
"44",1,0.95,0.4,0.885714285714286,0.739285714285714,0.775862068965517
"45",1,0.85,0.4,0.864285714285714,0.782142857142857,0.793103448275862
"46",0.95,1,0.3,0.832142857142857,0.732142857142857,0.803448275862069
"47",1,1,0.1,0.842857142857143,0.717857142857143,0.768965517241379
"48",1,0.95,0.1,0.860714285714286,0.778571428571429,0.806896551724138
"49",1,1,0.1,0.828571428571429,0.742857142857143,0.762068965517241
"50",1,1,0.3,0.835714285714286,0.742857142857143,0.810344827586207
