"","Time_sen","Group_sen","Group_Time_sen","Time_spe","Group_spe","Group_Time_spe"
"1",1,1,0,0.885714285714286,0.935714285714286,0.993103448275862
"2",1,1,0,0.85,0.942857142857143,0.989655172413793
"3",1,1,0,0.878571428571429,0.957142857142857,0.989655172413793
"4",1,1,0,0.935714285714286,0.953571428571429,1
"5",1,1,0.1,0.932142857142857,0.971428571428571,0.996551724137931
"6",1,1,0.1,0.875,0.921428571428571,0.993103448275862
"7",1,1,0,0.882142857142857,0.942857142857143,1
"8",1,1,0,0.878571428571429,0.928571428571429,1
"9",1,1,0,0.867857142857143,0.932142857142857,0.996551724137931
"10",1,1,0,0.853571428571429,0.928571428571429,0.968965517241379
"11",1,1,0,0.882142857142857,0.942857142857143,0.989655172413793
"12",1,1,0,0.910714285714286,0.953571428571429,1
"13",1,1,0,0.925,0.95,0.996551724137931
"14",1,1,0,0.921428571428571,0.917857142857143,0.996551724137931
"15",1,1,0.1,0.882142857142857,0.960714285714286,0.986206896551724
"16",1,1,0,0.903571428571429,0.975,0.979310344827586
"17",1,1,0,0.889285714285714,0.928571428571429,1
"18",1,1,0,0.853571428571429,0.953571428571429,0.996551724137931
"19",1,1,0,0.903571428571429,0.921428571428571,0.993103448275862
"20",1,1,0,0.892857142857143,0.939285714285714,0.996551724137931
"21",1,1,0,0.878571428571429,0.935714285714286,1
"22",1,1,0,0.860714285714286,0.892857142857143,0.993103448275862
"23",1,1,0,0.892857142857143,0.946428571428571,0.989655172413793
"24",1,1,0,0.878571428571429,0.917857142857143,1
"25",1,1,0,0.917857142857143,0.942857142857143,0.993103448275862
"26",1,1,0.1,0.917857142857143,0.957142857142857,0.989655172413793
"27",1,1,0,0.864285714285714,0.914285714285714,1
"28",1,1,0,0.925,0.928571428571429,1
"29",1,1,0,0.867857142857143,0.975,1
"30",1,1,0,0.875,0.953571428571429,0.982758620689655
"31",1,1,0,0.860714285714286,0.953571428571429,0.996551724137931
"32",1,1,0,0.932142857142857,0.953571428571429,0.996551724137931
"33",1,1,0,0.867857142857143,0.957142857142857,1
"34",1,1,0,0.875,0.892857142857143,1
"35",1,1,0,0.885714285714286,0.942857142857143,1
"36",1,1,0.1,0.910714285714286,0.939285714285714,0.996551724137931
"37",1,1,0,0.825,0.914285714285714,0.996551724137931
"38",1,1,0,0.885714285714286,0.967857142857143,1
"39",1,1,0,0.878571428571429,0.917857142857143,1
"40",1,1,0,0.878571428571429,0.953571428571429,1
"41",1,1,0,0.875,0.95,1
"42",1,1,0,0.857142857142857,0.892857142857143,0.996551724137931
"43",1,1,0,0.889285714285714,0.957142857142857,0.996551724137931
"44",1,1,0.2,0.892857142857143,0.953571428571429,0.993103448275862
"45",1,1,0,0.896428571428571,0.975,1
"46",1,1,0,0.921428571428571,0.910714285714286,0.986206896551724
"47",1,1,0,0.9,0.939285714285714,1
"48",1,1,0.1,0.896428571428571,0.925,1
"49",1,1,0.1,0.9,0.928571428571429,0.979310344827586
"50",1,1,0,0.832142857142857,0.957142857142857,0.996551724137931
