"","Time_sen","Group_sen","Time_spe","Group_spe"
"1",1,1,0.807142857142857,0.121428571428571
"2",1,1,0.778571428571429,0.0928571428571429
"3",1,1,0.792857142857143,0.114285714285714
"4",1,1,0.807142857142857,0.107142857142857
"5",1,1,0.778571428571429,0.132142857142857
"6",1,1,0.75,0.0964285714285714
"7",1,1,0.810714285714286,0.1
"8",1,1,0.710714285714286,0.0785714285714286
"9",1,1,0.782142857142857,0.0928571428571429
"10",1,1,0.753571428571429,0.0821428571428571
"11",1,1,0.803571428571429,0.1
"12",1,1,0.792857142857143,0.0821428571428571
"13",1,1,0.760714285714286,0.0678571428571429
"14",1,1,0.810714285714286,0.1
"15",1,1,0.8,0.121428571428571
"16",1,1,0.746428571428571,0.114285714285714
"17",1,1,0.807142857142857,0.103571428571429
"18",1,1,0.757142857142857,0.0964285714285714
"19",1,1,0.746428571428571,0.103571428571429
"20",1,1,0.803571428571429,0.0892857142857143
"21",1,1,0.814285714285714,0.0928571428571429
"22",1,1,0.792857142857143,0.121428571428571
"23",1,1,0.767857142857143,0.0821428571428571
"24",1,1,0.746428571428571,0.132142857142857
"25",1,1,0.760714285714286,0.107142857142857
"26",1,1,0.746428571428571,0.107142857142857
"27",1,1,0.785714285714286,0.0857142857142857
"28",1,1,0.807142857142857,0.0892857142857143
"29",1,1,0.778571428571429,0.1
"30",1,1,0.785714285714286,0.103571428571429
"31",1,1,0.775,0.0964285714285714
"32",1,1,0.789285714285714,0.0607142857142857
"33",1,1,0.767857142857143,0.107142857142857
"34",1,1,0.807142857142857,0.0714285714285714
"35",1,1,0.807142857142857,0.117857142857143
"36",1,1,0.714285714285714,0.110714285714286
"37",1,1,0.803571428571429,0.0785714285714286
"38",1,1,0.757142857142857,0.1
"39",1,1,0.821428571428571,0.0964285714285714
"40",1,1,0.725,0.0785714285714286
"41",1,1,0.810714285714286,0.0857142857142857
"42",1,1,0.757142857142857,0.103571428571429
"43",1,1,0.807142857142857,0.0821428571428571
"44",1,1,0.757142857142857,0.1
"45",1,1,0.817857142857143,0.0928571428571429
"46",1,1,0.782142857142857,0.110714285714286
"47",1,1,0.778571428571429,0.0714285714285714
"48",1,1,0.821428571428571,0.135714285714286
"49",1,1,0.817857142857143,0.121428571428571
"50",1,1,0.803571428571429,0.125
