"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.61,0.58,0.535,0.92
"2",0.555,0.845,0.755,0.945
"3",0.53,0.445,0.56,0.92
"4",0.58,0.595,0.51,0.915
"5",0.525,0.6,0.485,0.925
"6",0.56,0.595,0.515,0.905
"7",0.515,0.61,0.605,0.925
"8",0.565,0.595,0.585,0.925
"9",0.56,0.835,0.435,0.94
"10",0.595,0.64,0.64,0.91
"11",0.6,0.615,0.525,0.935
"12",0.54,0.845,0.505,0.94
"13",0.59,0.87,0.51,0.92
"14",0.56,0.62,0.52,0.935
"15",0.51,0.62,0.54,0.945
"16",0.57,0.81,0.565,0.925
"17",0.6,0.37,0.53,0.915
"18",0.525,0.59,0.55,0.915
"19",0.575,0.545,0.53,0.905
"20",0.55,0.84,0.575,0.915
"21",0.505,0.51,0.445,0.91
"22",0.515,0.845,0.47,0.93
"23",0.625,0.845,0.69,0.92
"24",0.615,0.865,0.525,0.92
"25",0.575,0.73,0.53,0.91
"26",0.57,0.67,0.56,0.92
"27",0.41,0.6,0.485,0.905
"28",0.5,0.575,0.585,0.92
"29",0.6,0.86,0.465,0.925
"30",0.55,0.55,0.41,0.915
"31",0.59,0.62,0.435,0.94
"32",0.57,0.63,0.645,0.905
"33",0.59,0.72,0.485,0.94
"34",0.605,0.64,0.535,0.93
"35",0.525,0.575,0.61,0.925
"36",0.6,0.425,0.465,0.93
"37",0.54,0.575,0.515,0.92
"38",0.565,0.695,0.495,0.91
"39",0.585,0.61,0.575,0.935
"40",0.535,0.87,0.74,0.915
"41",0.585,0.715,0.485,0.93
"42",0.525,0.565,0.68,0.905
"43",0.51,0.595,0.495,0.92
"44",0.48,0.855,0.525,0.945
"45",0.575,0.61,0.605,0.95
"46",0.6,0.855,0.515,0.93
"47",0.61,0.54,0.665,0.925
"48",0.545,0.715,0.42,0.915
"49",0.58,0.7,0.635,0.925
"50",0.52,0.675,0.44,0.945
"51",0.615,0.845,0.53,0.91
"52",0.485,0.755,0.48,0.91
"53",0.475,0.575,0.53,0.92
"54",0.46,0.605,0.53,0.93
"55",0.585,0.81,0.51,0.935
"56",0.475,0.555,0.735,0.915
"57",0.465,0.86,0.48,0.95
"58",0.54,0.595,0.5,0.92
"59",0.49,0.54,0.735,0.915
"60",0.525,0.85,0.525,0.925
"61",0.58,0.735,0.475,0.93
"62",0.58,0.655,0.445,0.92
"63",0.555,0.66,0.51,0.91
"64",0.535,0.61,0.45,0.925
"65",0.62,0.715,0.55,0.91
"66",0.535,0.535,0.66,0.93
"67",0.43,0.855,0.49,0.955
"68",0.53,0.725,0.64,0.925
"69",0.535,0.85,0.6,0.91
"70",0.555,0.63,0.665,0.925
"71",0.57,0.805,0.505,0.93
"72",0.595,0.62,0.695,0.92
"73",0.51,0.845,0.555,0.945
"74",0.535,0.615,0.55,0.94
"75",0.59,0.845,0.56,0.93
"76",0.565,0.61,0.59,0.91
"77",0.52,0.59,0.45,0.91
"78",0.585,0.865,0.665,0.935
"79",0.455,0.6,0.655,0.93
"80",0.47,0.605,0.425,0.945
"81",0.61,0.67,0.635,0.93
"82",0.565,0.845,0.475,0.905
"83",0.555,0.855,0.595,0.935
"84",0.6,0.585,0.515,0.925
"85",0.515,0.875,0.525,0.945
"86",0.545,0.61,0.485,0.92
"87",0.59,0.71,0.395,0.925
"88",0.565,0.79,0.535,0.91
"89",0.56,0.625,0.53,0.93
"90",0.545,0.565,0.545,0.925
"91",0.59,0.7,0.545,0.93
"92",0.475,0.56,0.485,0.925
"93",0.51,0.75,0.485,0.915
"94",0.525,0.83,0.6,0.905
"95",0.58,0.805,0.645,0.915
"96",0.425,0.765,0.465,0.96
"97",0.58,0.6,0.64,0.935
"98",0.57,0.605,0.66,0.92
"99",0.57,0.82,0.565,0.925
"100",0.375,0.87,0.675,0.92
