"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.86,0.725,0.885,0.885
"2",0.84,0.835,0.855,0.855
"3",0.82,0.81,0.855,0.865
"4",0.62,0.705,0.85,0.885
"5",0.87,0.79,0.88,0.88
"6",0.825,0.7,0.87,0.87
"7",0.87,0.815,0.89,0.89
"8",0.81,0.735,0.865,0.865
"9",0.825,0.52,0.865,0.875
"10",0.855,0.865,0.87,0.87
"11",0.85,0.69,0.875,0.875
"12",0.79,0.86,0.85,0.87
"13",0.86,0.68,0.88,0.88
"14",0.6,0.845,0.84,0.885
"15",0.835,0.835,0.9,0.9
"16",0.815,0.79,0.87,0.87
"17",0.84,0.56,0.86,0.855
"18",0.825,0.82,0.87,0.87
"19",0.87,0.81,0.87,0.87
"20",0.64,0.855,0.86,0.865
"21",0.835,0.815,0.865,0.865
"22",0.795,0.84,0.85,0.85
"23",0.735,0.79,0.855,0.865
"24",0.845,0.71,0.865,0.885
"25",0.875,0.77,0.875,0.88
"26",0.87,0.875,0.88,0.88
"27",0.845,0.7,0.875,0.875
"28",0.78,0.83,0.85,0.85
"29",0.835,0.865,0.875,0.855
"30",0.845,0.65,0.885,0.885
"31",0.825,0.665,0.9,0.9
"32",0.865,0.66,0.885,0.885
"33",0.865,0.83,0.88,0.88
"34",0.865,0.87,0.875,0.875
"35",0.84,0.86,0.875,0.875
"36",0.66,0.8,0.85,0.85
"37",0.75,0.765,0.84,0.87
"38",0.81,0.855,0.85,0.86
"39",0.86,0.775,0.87,0.87
"40",0.855,0.84,0.865,0.865
"41",0.8,0.845,0.945,0.84
"42",0.86,0.63,0.875,0.875
"43",0.855,0.87,0.945,0.865
"44",0.69,0.66,0.905,0.905
"45",0.84,0.885,0.89,0.89
"46",0.67,0.68,0.845,0.875
"47",0.815,0.775,0.86,0.885
"48",0.795,0.56,0.85,0.86
"49",0.83,0.815,0.86,0.86
"50",0.87,0.87,0.87,0.87
"51",0.825,0.84,0.855,0.86
"52",0.84,0.76,0.87,0.87
"53",0.87,0.44,0.885,0.885
"54",0.835,0.63,0.855,0.865
"55",0.615,0.805,0.85,0.835
"56",0.625,0.66,0.82,0.88
"57",0.88,0.88,0.885,0.885
"58",0.655,0.69,0.825,0.865
"59",0.85,0.86,0.865,0.865
"60",0.85,0.885,0.88,0.88
"61",0.725,0.845,0.85,0.885
"62",0.86,0.52,0.885,0.885
"63",0.76,0.64,0.87,0.865
"64",0.785,0.835,0.835,0.86
"65",0.8,0.865,0.855,0.87
"66",0.865,0.705,0.885,0.885
"67",0.785,0.82,0.915,0.915
"68",0.855,0.675,0.87,0.87
"69",0.7,0.65,0.855,0.845
"70",0.715,0.785,0.865,0.865
"71",0.68,0.5,0.855,0.855
"72",0.87,0.825,0.88,0.88
"73",0.855,0.53,0.89,0.89
"74",0.865,0.875,0.875,0.875
"75",0.81,0.69,0.855,0.855
"76",0.85,0.86,0.855,0.845
"77",0.77,0.835,0.86,0.86
"78",0.865,0.88,0.885,0.88
"79",0.685,0.82,0.845,0.825
"80",0.72,0.83,0.865,0.865
"81",0.71,0.64,0.85,0.855
"82",0.83,0.845,0.86,0.855
"83",0.765,0.725,0.865,0.88
"84",0.675,0.855,0.86,0.865
"85",0.83,0.69,0.905,0.905
"86",0.86,0.805,0.875,0.875
"87",0.86,0.68,0.875,0.855
"88",0.855,0.785,0.955,0.875
"89",0.85,0.725,0.885,0.885
"90",0.755,0.66,0.865,0.865
"91",0.855,0.84,0.88,0.88
"92",0.865,0.875,0.88,0.88
"93",0.865,0.885,0.89,0.89
"94",0.855,0.705,0.88,0.88
"95",0.845,0.82,0.86,0.865
"96",0.85,0.715,0.88,0.88
"97",0.87,0.67,0.88,0.88
"98",0.865,0.88,0.89,0.89
"99",0.83,0.855,0.86,0.885
"100",0.845,0.875,0.88,0.88
