"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.825,0.815,0.625,0.99
"2",0.81,0.97,0.805,0.985
"3",0.785,0.735,0.805,0.985
"4",0.9,0.66,0.81,0.985
"5",0.81,0.97,0.805,0.995
"6",0.865,0.97,0.74,0.99
"7",0.92,0.975,0.805,0.99
"8",0.765,0.68,0.97,0.98
"9",0.9,0.615,0.97,0.985
"10",0.84,0.975,0.81,0.985
"11",0.945,0.97,0.805,0.985
"12",0.79,0.955,0.8,0.98
"13",0.87,0.655,0.97,0.985
"14",0.825,0.97,0.735,0.985
"15",0.755,0.97,0.81,0.98
"16",0.955,0.65,0.805,0.985
"17",0.805,0.96,0.81,0.98
"18",0.905,0.965,0.805,0.98
"19",0.92,0.97,0.675,0.985
"20",0.77,0.96,0.805,0.98
"21",0.885,0.97,0.805,0.99
"22",0.82,0.745,0.635,0.99
"23",0.805,0.8,0.97,0.985
"24",0.77,0.965,0.805,0.98
"25",0.825,0.64,0.81,0.985
"26",0.97,0.66,0.815,0.985
"27",0.825,0.975,0.97,0.99
"28",0.865,0.97,0.815,0.985
"29",0.88,0.97,0.97,0.985
"30",0.855,0.8,0.76,0.99
"31",0.805,0.97,0.695,0.985
"32",0.885,0.655,0.48,0.985
"33",0.96,0.96,0.805,0.99
"34",0.91,0.82,0.805,0.98
"35",0.9,0.965,0.65,0.99
"36",0.75,0.64,0.92,0.98
"37",0.765,0.97,0.78,0.98
"38",0.775,0.655,0.49,0.98
"39",0.78,0.965,0.81,0.98
"40",0.88,0.965,0.925,0.99
"41",0.935,0.97,0.65,0.98
"42",0.82,0.655,0.81,0.99
"43",0.795,0.97,0.81,0.985
"44",0.85,0.97,0.815,0.98
"45",0.975,0.95,0.81,0.985
"46",0.775,0.655,0.985,0.985
"47",0.75,0.97,0.81,0.985
"48",0.815,0.61,0.59,0.98
"49",0.855,0.385,0.835,0.99
"50",0.84,0.665,0.64,0.985
"51",0.765,0.66,0.805,0.98
"52",0.79,0.965,0.485,0.98
"53",0.815,0.965,0.97,0.98
"54",0.78,0.965,0.81,0.985
"55",0.77,0.965,0.97,0.985
"56",0.88,0.625,0.89,0.99
"57",0.88,0.65,0.81,0.99
"58",0.855,0.97,0.81,0.98
"59",0.845,0.975,0.81,0.985
"60",0.75,0.97,0.625,0.99
"61",0.9,0.975,0.655,0.98
"62",0.93,0.665,0.755,0.985
"63",0.795,0.645,0.81,0.985
"64",0.89,0.95,0.81,0.99
"65",0.86,0.655,0.485,0.99
"66",0.915,0.34,0.65,0.985
"67",0.88,0.955,0.69,0.98
"68",0.76,0.97,0.81,0.98
"69",0.91,0.8,0.74,0.99
"70",0.815,0.975,0.805,0.985
"71",0.965,0.97,0.805,0.98
"72",0.955,0.645,0.8,0.99
"73",0.82,0.65,0.81,0.98
"74",0.9,0.66,0.81,0.985
"75",0.775,0.66,0.805,0.985
"76",0.855,0.97,0.805,0.985
"77",0.795,0.62,0.81,0.985
"78",0.78,0.625,0.805,0.985
"79",0.905,0.41,0.81,0.985
"80",0.83,0.98,0.92,0.985
"81",0.86,0.655,0.9,0.98
"82",0.775,0.96,0.97,0.99
"83",0.805,0.82,0.895,0.99
"84",0.8,0.645,0.805,0.98
"85",0.84,0.97,0.65,0.98
"86",0.75,0.65,0.81,0.98
"87",0.94,0.96,0.65,0.99
"88",0.84,0.97,0.81,0.98
"89",0.8,0.615,0.905,0.995
"90",0.765,0.65,0.895,0.98
"91",0.905,0.64,0.81,0.98
"92",0.775,0.65,0.81,0.98
"93",0.79,0.655,0.81,0.985
"94",0.86,0.635,0.49,0.985
"95",0.925,0.645,0.815,0.98
"96",0.77,0.345,0.805,0.99
"97",0.96,0.66,0.64,0.985
"98",0.89,0.655,0.73,0.99
"99",0.88,0.65,0.81,0.985
"100",0.89,0.39,0.515,0.985
