"","PCA","DTW","Agglomerative","Kmedoids"
"1",0.62,0.835,0.635,0.95
"2",0.62,0.6,0.59,0.955
"3",0.615,0.59,0.49,0.955
"4",0.62,0.855,0.49,0.96
"5",0.585,0.63,0.455,0.95
"6",0.6,0.87,0.49,0.955
"7",0.605,0.85,0.495,0.95
"8",0.59,0.875,0.465,0.965
"9",0.605,0.635,0.53,0.955
"10",0.6,0.61,0.46,0.95
"11",0.61,0.845,0.49,0.95
"12",0.6,0.86,0.49,0.955
"13",0.595,0.595,0.5,0.95
"14",0.6,0.605,0.445,0.95
"15",0.62,0.58,0.47,0.95
"16",0.59,0.875,0.43,0.96
"17",0.625,0.875,0.485,0.955
"18",0.595,0.86,0.555,0.96
"19",0.605,0.755,0.495,0.955
"20",0.605,0.545,0.53,0.96
"21",0.575,0.61,0.63,0.945
"22",0.585,0.63,0.47,0.95
"23",0.605,0.855,0.485,0.96
"24",0.6,0.65,0.565,0.96
"25",0.615,0.87,0.545,0.955
"26",0.575,0.87,0.525,0.96
"27",0.585,0.66,0.5,0.95
"28",0.62,0.875,0.53,0.965
"29",0.605,0.615,0.47,0.96
"30",0.605,0.655,0.475,0.95
"31",0.61,0.865,0.535,0.95
"32",0.585,0.555,0.65,0.96
"33",0.605,0.86,0.53,0.95
"34",0.605,0.635,0.495,0.955
"35",0.595,0.615,0.665,0.955
"36",0.6,0.67,0.54,0.96
"37",0.62,0.865,0.475,0.96
"38",0.6,0.875,0.455,0.96
"39",0.595,0.685,0.52,0.95
"40",0.63,0.86,0.47,0.95
"41",0.625,0.485,0.49,0.955
"42",0.62,0.875,0.54,0.95
"43",0.645,0.875,0.6,0.955
"44",0.605,0.875,0.59,0.96
"45",0.62,0.625,0.47,0.96
"46",0.615,0.62,0.49,0.96
"47",0.58,0.705,0.49,0.955
"48",0.605,0.875,0.445,0.955
"49",0.595,0.67,0.485,0.95
"50",0.59,0.695,0.49,0.945
"51",0.615,0.755,0.48,0.955
"52",0.6,0.645,0.445,0.945
"53",0.595,0.62,0.49,0.96
"54",0.595,0.865,0.585,0.96
"55",0.595,0.855,0.59,0.955
"56",0.585,0.765,0.545,0.96
"57",0.61,0.615,0.53,0.96
"58",0.595,0.63,0.51,0.96
"59",0.61,0.615,0.675,0.965
"60",0.585,0.865,0.49,0.955
"61",0.605,0.865,0.505,0.955
"62",0.64,0.625,0.53,0.955
"63",0.61,0.675,0.485,0.955
"64",0.59,0.87,0.555,0.965
"65",0.605,0.365,0.55,0.945
"66",0.61,0.865,0.49,0.96
"67",0.605,0.865,0.6,0.96
"68",0.6,0.625,0.49,0.955
"69",0.605,0.685,0.47,0.95
"70",0.555,0.595,0.535,0.955
"71",0.595,0.87,0.47,0.955
"72",0.545,0.87,0.44,0.96
"73",0.61,0.755,0.685,0.96
"74",0.61,0.88,0.59,0.945
"75",0.595,0.86,0.625,0.955
"76",0.575,0.61,0.53,0.96
"77",0.605,0.54,0.475,0.95
"78",0.61,0.88,0.485,0.955
"79",0.61,0.865,0.55,0.96
"80",0.62,0.865,0.485,0.955
"81",0.605,0.63,0.5,0.96
"82",0.615,0.71,0.635,0.945
"83",0.62,0.605,0.53,0.96
"84",0.625,0.65,0.49,0.96
"85",0.62,0.84,0.57,0.955
"86",0.595,0.69,0.53,0.955
"87",0.58,0.88,0.47,0.96
"88",0.61,0.635,0.47,0.96
"89",0.56,0.69,0.45,0.955
"90",0.63,0.6,0.535,0.955
"91",0.595,0.72,0.59,0.96
"92",0.6,0.875,0.47,0.955
"93",0.61,0.88,0.53,0.96
"94",0.63,0.675,0.495,0.955
"95",0.6,0.87,0.48,0.95
"96",0.61,0.88,0.575,0.955
"97",0.595,0.7,0.66,0.96
"98",0.63,0.635,0.55,0.96
"99",0.59,0.65,0.51,0.955
"100",0.605,0.745,0.5,0.955
