"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"71","OTU_1995",0.743578700986057,0.144286753032738,0.817048188366819,"ns","ns","ns"
"72","OTU_2056",0.420059920172689,0.314691915134133,0.31912503071289,"ns","ns","ns"
"73","OTU_2059",0.00692092468562467,0.148017440267045,0.0521590211666819,"s","ns","ns"
"74","OTU_2072",0.054036626243137,0.127022720555413,0.169297245853948,"ns","ns","ns"
"75","OTU_2077",0.0444784777320745,0.121073721430074,0.151333205479346,"s","ns","ns"
"76","OTU_2088",0.000375760452866698,0.521933804562638,0.0121440635437371,"s","ns","s"
"77","OTU_2101",0.326880449051601,0.00704460091924493,0.459190409619835,"ns","s","ns"
"78","OTU_2105",0.0711141489799937,0.0215225878663656,0.370525274487401,"ns","s","ns"
"79","OTU_2107",0.00192650049491024,0.582696781133859,0.0248725776344153,"s","ns","s"
"80","OTU_2109",0.245400673589304,0.197163575769155,0.410158572315392,"ns","ns","ns"
"81","OTU_2112",0.886716268707142,0.298020527623454,0.233863174678723,"ns","ns","ns"
"82","OTU_2113",0.0535759007450057,0.593227660531717,0.168463759287464,"ns","ns","ns"
"83","OTU_2118",0.00788721895658717,0.649771524098403,0.0560730821909378,"s","ns","ns"
"84","OTU_2120",0.357666552410057,0.0271216604311542,0.464646262861434,"ns","s","ns"
"85","OTU_2121",0.925453069150771,0.0754650073224626,0.777812340763143,"ns","ns","ns"
"86","OTU_2122",0.0572972382392391,0.59768787334372,0.17511405232627,"ns","ns","ns"
"87","OTU_2127",0.0507320288280351,0.983385996134364,0.282978507895582,"ns","ns","ns"
"88","OTU_2129",0.124785820161134,0.83207036113072,0.470742059978086,"ns","ns","ns"
"89","OTU_2131",0.17504891894861,0.732029218602035,0.861877724659703,"ns","ns","ns"
"90","OTU_2138",0.00241320218594306,0.787358982494674,0.0284556477795735,"s","ns","s"
"91","OTU_2140",0.288910158135787,0.254541859328531,0.451448490125392,"ns","ns","ns"
"92","OTU_2147",0.00397462119359644,0.570517513346201,0.0391433977758441,"s","ns","s"
"93","OTU_2152",0.00213712172121494,0.33539672360016,0.0302723403427767,"s","ns","s"
"94","OTU_2154",0.065328948062616,0.0402166533429291,0.189031574613849,"ns","s","ns"
"95","OTU_2160",0.202938040074048,0.0926754411239568,0.385538463714845,"ns","ns","ns"
"96","OTU_2161",1,0.412547549215308,0.177446581861934,"ns","ns","ns"
"97","OTU_2163",0.490153221535653,0.091299100619119,0.00233354973227549,"ns","ns","s"
"98","OTU_2169",0.987520164399378,0.466529200535417,0.893347221604179,"ns","ns","ns"
"99","OTU_2171",0.115306309869199,0.935559187574425,0.288242318315038,"ns","ns","ns"
"100","OTU_2172",0.383970488552665,0.0085618385513792,0.537423756209229,"ns","s","ns"
"101","OTU_2179",0.000631453796904994,0.044116677814841,0.0129934525996088,"s","s","s"
"102","OTU_2180",0.938923144105293,0.0979084292346011,0.00380776170874169,"ns","ns","s"
