"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"71","OTU_1995",0.93685995126155,0.56575795674936,0.986756336565966,"ns","ns","ns"
"72","OTU_2056",0.389091071394206,0.329288293231705,0.793918919612808,"ns","ns","ns"
"73","OTU_2059",0.0338198028072883,0.586192201086727,0.636465301882573,"s","ns","ns"
"74","OTU_2072",1.91322132133487e-09,0.00108084648704413,7.97196176475331e-05,"s","s","s"
"75","OTU_2077",1.0080660801971e-09,0.000985562802728733,5.59397606722551e-05,"s","s","s"
"76","OTU_2088",0.00221073192416228,0.721526609779129,0.445743726181664,"s","ns","ns"
"77","OTU_2101",0.279153325601109,0.29079881475233,0.736428536572968,"ns","ns","ns"
"78","OTU_2105",0.0334380554844404,0.252160247864378,0.451993706997293,"s","ns","ns"
"79","OTU_2107",1.19354357311207e-05,0.671568436461443,0.210391556164441,"s","ns","ns"
"80","OTU_2109",0.318885084631656,0.590685592813939,0.827299767631464,"ns","ns","ns"
"81","OTU_2112",0.941844942842294,0.00395073666399128,5.05157159970816e-07,"ns","s","s"
"82","OTU_2113",1.17023187709811e-09,0.0187285613706954,0.000856975581109982,"s","s","s"
"83","OTU_2118",0.0363306495007375,0.698509877900437,0.610992994868198,"s","ns","ns"
"84","OTU_2120",0.790927275181399,0.281818822376003,0.888567974966537,"ns","ns","ns"
"85","OTU_2121",0.404638288816077,0.304350708106649,0.993628582010916,"ns","ns","ns"
"86","OTU_2122",1.52261070507176e-07,0.0788740278118897,0.0116718757097036,"s","ns","s"
"87","OTU_2127",0.0290871243673911,0.775972575380686,0.6824767390312,"s","ns","ns"
"88","OTU_2129",0.020017963341146,0.729020406408669,0.79118924661562,"s","ns","ns"
"89","OTU_2131",0.0686236495383805,0.646971900716637,0.738768088992921,"ns","ns","ns"
"90","OTU_2138",9.11755182998115e-05,0.871112926121513,0.251762142546189,"s","ns","ns"
"91","OTU_2140",0.0885769102379507,0.298829406140894,0.464738205116104,"ns","ns","ns"
"92","OTU_2147",0.0036179771294942,0.80979769039416,0.201965867042223,"s","ns","ns"
"93","OTU_2152",2.90457413095194e-05,0.566616426907329,0.164379924828721,"s","ns","ns"
"94","OTU_2154",0.0242639620556758,0.40882440451336,0.615146769431614,"s","ns","ns"
"95","OTU_2160",0.110377956151923,0.409631510968169,0.696781285551242,"ns","ns","ns"
"96","OTU_2161",0.999923985031353,0.270404877594732,0.0157847284045545,"ns","ns","s"
"97","OTU_2163",0.357099050556757,0.256987291703782,0.00563374794809096,"ns","ns","s"
"98","OTU_2169",0.990868070313936,0.00860974310322895,0.0393439864918378,"ns","s","s"
"99","OTU_2171",0.0699850502347918,0.92222855585411,0.66614188491723,"ns","ns","ns"
"100","OTU_2172",0.443743158055492,0.251701358064579,0.863617666653134,"ns","ns","ns"
"101","OTU_2179",0.00114353476960357,0.362628372154037,0.460021856068737,"s","ns","ns"
